Date,User,Cloud Agent ID,Automation ID,Kind,Model,Max Mode,Input (w/ Cache Write),Input (w/o Cache Write),Cache Read,Output Tokens,Total Tokens,Cost
2026-05-25T07:44:30.128Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,73516,85557,1262,160335,0.07
2026-05-25T07:44:26.323Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,90925,1432224,9004,1532153,0.95
2026-05-25T07:43:41.417Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,255390,56672,3064,315126,0.50
2026-05-25T07:39:33.173Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,9112,811392,3640,824144,0.45
2026-05-25T07:32:00.880Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,114594,1141824,7312,1263730,0.83
2026-05-25T07:31:29.968Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,72178,320064,4428,396670,0.32
2026-05-25T07:23:34.666Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,1019,159552,860,161431,0.09
2026-05-25T07:22:17.355Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,5764,101888,2410,110062,0.08
2026-05-25T07:21:50.826Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,3107,118560,827,122494,0.07
2026-05-25T07:20:51.639Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,26290,72928,1020,100238,0.09
2026-05-25T07:20:12.492Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,3324,123819,2016,129159,0.05
2026-05-25T07:18:32.808Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,33184,358954,3863,396001,0.15
2026-05-25T07:16:50.503Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,20065,599760,4412,624237,0.23
2026-05-25T07:16:15.805Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,1647,165295,804,167746,0.06
2026-05-25T07:15:48.416Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,77415,1011472,11213,1100100,0.41
2026-05-25T07:15:43.166Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,25573,45896,562,72031,0.03
2026-05-25T07:13:01.508Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,7191,293876,3438,304505,0.11
2026-05-25T07:09:39.966Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,54822,539744,4771,599337,0.22
2026-05-25T07:05:43.383Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,45972,521252,4333,571557,0.21
2026-05-25T05:31:51.396Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,24412,92762,1436,118610,0.05
2026-05-25T05:30:32.213Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,77634,0,4096,81730,0.04
2026-05-25T05:29:50.883Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,30957,170724,5070,206751,0.08
2026-05-25T05:20:29.531Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,6169,462704,1194,470067,0.17
2026-05-25T05:20:10.856Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,2347,252265,427,255039,0.09
2026-05-25T05:19:56.588Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,14170,1077004,5743,1096917,0.39
2026-05-25T05:17:32.557Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,2301,163287,591,166179,0.06
2026-05-25T05:15:51.358Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,49734,416885,8786,475405,0.18
2026-05-25T05:15:41.998Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,7916,474711,3870,486497,0.18
2026-05-25T05:14:52.536Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,48508,236315,6477,291300,0.12
2026-05-25T05:14:43.294Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,6046,161601,2599,170246,0.06
2026-05-25T05:14:10.069Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,8234,235757,1440,245431,0.09
2026-05-25T05:12:22.931Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,20762,718804,3434,743000,0.27
2026-05-25T05:10:12.400Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,73708,239816,7945,321469,0.13
2026-05-25T05:03:17.734Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,53396,380592,4090,438078,0.17
2026-05-25T05:02:35.926Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,39178,319568,5042,363788,0.15
2026-05-25T05:02:27.244Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,0,0,0,0,Free
2026-05-25T05:00:47.785Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,22097,43870,671,66638,0.03
2026-05-25T04:51:15.985Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,11593,1174309,2212,1188114,0.42
2026-05-25T04:43:08.013Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,14525,451990,3882,470397,0.17
2026-05-25T04:38:37.967Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,104930,1692928,21413,1819271,0.68
2026-05-25T04:36:39.125Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,35029,668755,7986,711770,0.26
2026-05-25T04:35:16.670Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,54309,700089,8710,763108,0.29
2026-05-25T04:34:37.359Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,24170,577436,6366,607972,0.22
2026-05-25T04:33:44.402Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,1442,49451,268,51161,0.02
2026-05-25T04:33:13.150Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,20139,141204,1071,162414,0.06
2026-05-25T04:30:07.053Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,68370,142007,2260,212637,0.09
2026-05-25T04:28:22.389Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,6101,552924,1663,560688,0.20
2026-05-25T04:26:35.141Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,53365,586979,4191,644535,0.24
2026-05-25T04:23:54.156Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,43355,520405,6853,570613,0.21
2026-05-25T04:07:13.661Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,14334,1719443,4129,1737906,0.62
2026-05-25T03:56:21.243Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,298814,4778096,28367,5105277,1.86
2026-05-25T03:54:46.120Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,44882,213862,2030,260774,0.10
2026-05-25T03:49:50.569Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,279,70594,2975,73848,0.03
2026-05-25T03:42:49.497Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,59219,367409,5647,432275,0.17
2026-05-25T03:42:47.100Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,51376,413258,5893,470527,0.18
2026-05-25T03:42:37.723Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,66000,266412,1368,333780,0.13
2026-05-25T03:33:29.664Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,54020,491855,4319,550194,0.21
2026-05-25T03:32:12.000Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,17094,92544,1239,110877,0.04
2026-05-23T07:33:05.955Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,75014,888240,13917,977171,0.37
2026-05-23T04:33:21.610Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,17575,86784,1038,105397,0.04
2026-05-23T04:30:29.943Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,42955,177999,1957,222911,0.09
2026-05-23T04:30:19.348Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,57990,644972,4626,707588,0.26
2026-05-23T04:30:05.094Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,4265,184832,470,189567,0.07
2026-05-23T04:30:02.165Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,54508,717189,8502,780199,0.29
2026-05-23T04:28:52.662Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,41082,346880,1337,389299,0.14
2026-05-23T04:28:49.821Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,28003,100569,823,129395,0.05
2026-05-23T04:27:25.263Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,9740,115804,2007,127551,0.05
2026-05-23T04:27:05.980Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,21309,43732,552,65593,0.03
2026-05-23T04:25:27.598Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,39191,301312,6606,347109,0.14
2026-05-23T04:18:44.641Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,51664,303616,1800,357080,0.13
2026-05-23T04:12:48.031Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,158671,411690,7407,577768,0.23
2026-05-23T04:03:10.908Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,71560,765440,12170,849170,0.32
2026-05-23T03:53:05.845Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,115466,601012,1628,718106,0.27
2026-05-23T03:37:31.989Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,113887,3865197,31581,4010665,1.46
2026-05-23T03:32:10.243Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,55071,467328,4303,526702,0.36
2026-05-23T03:32:08.876Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,66611,992320,6373,1065304,0.66
2026-05-23T03:32:08.646Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,50133,753344,7428,810905,0.52
2026-05-23T03:31:59.227Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,33010,62976,2552,98538,0.30
2026-05-23T03:31:11.193Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,19477,6656,466,26599,0.12
2026-05-23T03:24:18.756Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,86909,1072640,16764,1176313,0.44
2026-05-23T03:18:26.589Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,24195,179712,1851,205758,0.08
2026-05-22T16:36:18.698Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,9455,336640,4946,351041,0.13
2026-05-22T16:34:16.793Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,9831,465664,5841,481336,0.18
2026-05-22T16:33:23.099Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,1532,144896,871,147299,0.05
2026-05-22T16:32:36.348Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,2125,141056,1353,144534,0.05
2026-05-22T16:31:15.207Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,10500,646656,2837,659993,0.24
2026-05-22T16:29:38.614Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,3703,176640,3061,183404,0.07
2026-05-22T16:24:17.789Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,60521,649472,9523,719516,0.27
2026-05-22T16:22:23.280Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,48935,206848,2699,258482,0.10
2026-05-22T16:20:50.087Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,46482,343296,7013,396791,0.15
2026-05-22T16:10:42.525Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,2167,414976,664,417807,0.15
2026-05-22T16:06:33.144Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,96015,833024,12188,941227,0.36
2026-05-22T16:01:58.708Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,7183,579328,4200,590711,0.21
2026-05-22T16:00:25.865Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,68520,190208,5806,264534,0.11
2026-05-22T16:00:12.613Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,42276,28160,4,70440,0.24
2026-05-22T15:59:32.652Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,32790,156992,3409,193191,0.16
2026-05-22T15:59:32.105Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,35957,233920,3307,273184,0.21
2026-05-22T15:59:21.445Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,94421,213504,2672,310597,0.74
2026-05-22T15:47:55.609Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,20713,37632,590,58935,0.02
2026-05-22T15:35:45.639Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,3903,627712,819,632434,0.22
2026-05-22T15:33:28.464Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,19625,681472,9044,710141,0.26
2026-05-22T15:27:21.967Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,103057,1672960,24319,1800336,0.67
2026-05-22T15:26:00.135Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,8286,236288,2205,246779,0.09
2026-05-22T15:23:36.808Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,10743,203264,4182,218189,0.08
2026-05-22T15:18:32.763Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,67393,343808,5771,416972,0.16
2026-05-22T15:09:43.037Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,41348,404992,2690,449030,0.17
2026-05-22T14:38:53.076Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,2998,105216,816,109030,0.04
2026-05-22T14:37:09.968Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,33732,99328,1538,134598,0.05
2026-05-22T13:22:02.444Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,20971,77312,1009,99292,0.04
2026-05-22T09:02:49.979Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,4246,74240,1640,80126,0.03
2026-05-22T08:52:36.395Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,34841,167680,3451,205972,0.08
2026-05-22T08:52:00.582Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,94248,288000,888,383136,0.15
2026-05-22T08:29:40.603Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,89330,1021696,9982,1121008,0.42
2026-05-22T08:22:06.982Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,73819,1409024,13993,1496836,0.55
2026-05-22T08:19:19.887Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,59317,270848,1094,331259,0.13
2026-05-22T08:15:31.515Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,60701,474880,11167,546748,0.21
2026-05-22T08:14:21.410Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,72857,224128,4458,301443,0.27
2026-05-22T08:14:10.179Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,49759,149504,2162,201425,0.44
2026-05-22T08:13:37.872Z,demo-user@example.com,,,"Errored, No Charge",composer-2.5,No,0,0,0,0,0,Free
2026-05-22T08:07:24.360Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,27953,159744,4081,191778,0.08
2026-05-22T07:54:08.708Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,5121,846080,1537,852738,0.30
2026-05-22T07:50:20.615Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,92301,607488,1408,701197,0.26
2026-05-22T07:50:04.169Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,138840,3652864,19392,3811096,1.38
2026-05-22T07:48:58.662Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,68891,666368,5807,741066,0.28
2026-05-22T07:48:16.103Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,12473,395776,2408,410657,0.15
2026-05-22T07:47:59.260Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,80238,1166080,7071,1253389,0.46
2026-05-22T07:47:20.839Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,11901,557056,4096,573053,0.21
2026-05-22T07:45:56.248Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,6947,707840,1641,716428,0.25
2026-05-22T07:45:07.742Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,42882,93952,2708,139542,0.06
2026-05-22T07:42:55.720Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,18141,412416,9505,440062,0.17
2026-05-22T07:41:43.388Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,20952,489216,4310,514478,0.19
2026-05-22T07:39:24.134Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,43397,347136,8920,399453,0.16
2026-05-22T07:37:55.487Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,21361,430848,4256,456465,0.17
2026-05-22T07:36:03.794Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,78573,472576,4672,555821,0.21
2026-05-22T07:35:18.535Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,52425,455936,8324,516685,0.20
2026-05-22T07:34:39.563Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,79814,347136,4293,431243,0.17
2026-05-22T07:33:52.180Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,75566,1351936,9832,1437334,0.61
2026-05-22T07:25:59.237Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,69888,600576,5331,675795,0.25
2026-05-22T07:05:23.822Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,26536,400640,5889,433065,0.16
2026-05-22T07:02:43.999Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,19537,39680,444,59661,0.02
2026-05-22T07:01:12.633Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,674,36864,370,37908,0.01
2026-05-22T06:59:05.428Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,18089,37120,317,55526,0.02
2026-05-22T06:53:52.936Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,27671,54272,352,82295,0.03
2026-05-22T06:52:51.437Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,24038,139520,3382,166940,0.07
2026-05-22T06:51:47.808Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,19805,110592,1235,131632,0.05
2026-05-22T06:49:46.382Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,26383,163072,2396,191851,0.07
2026-05-22T06:44:32.624Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,34131,784640,12919,831690,0.31
2026-05-22T06:41:18.059Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,37838,256512,10892,305242,0.13
2026-05-22T06:23:38.939Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,13648,32768,256,46672,0.10
2026-05-22T06:21:00.367Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,43228,384000,3934,431162,0.63
2026-05-22T06:18:04.332Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,24442,109568,1118,135128,0.05
2026-05-22T06:16:06.417Z,demo-user@example.com,,,On-Demand,auto,No,0,0,0,0,0,Free
2026-05-22T06:11:54.854Z,demo-user@example.com,,,On-Demand,auto,No,0,174781,1220096,4114,1398991,0.55
2026-05-22T06:05:57.416Z,demo-user@example.com,,,On-Demand,gpt-5.3-codex-high,No,0,344636,5325312,16296,5686244,3.18
2026-05-22T06:05:08.328Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,134108,400384,1774,536266,1.06
2026-05-22T06:03:46.493Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,113684,8704,1384,123772,0.65
2026-05-22T05:59:17.146Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,6189,914432,1731,922352,0.33
2026-05-22T05:58:42.518Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,109548,223488,2371,335407,0.14
2026-05-21T21:31:32.088Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,110531,108544,4091,223166,0.10
2026-05-21T21:25:42.918Z,demo-user@example.com,,,On-Demand,gpt-5.3-codex-high,No,0,108748,523136,4655,636539,0.51
2026-05-21T21:19:01.150Z,demo-user@example.com,,,On-Demand,gpt-5.3-codex-high,No,0,15568,1432448,10809,1458825,0.79
2026-05-21T21:18:11.239Z,demo-user@example.com,,,On-Demand,gpt-5.3-codex-high,No,0,75151,1536,624,77311,0.16
2026-05-21T17:46:50.299Z,demo-user@example.com,,,On-Demand,gpt-5.3-codex-high,No,0,367439,3924352,11430,4303221,2.12
2026-05-21T17:20:12.144Z,demo-user@example.com,,,On-Demand,gpt-5.3-codex-high,No,0,31988,1525760,2981,1560729,0.75
2026-05-21T17:17:22.365Z,demo-user@example.com,,,On-Demand,gpt-5.3-codex-high,No,0,52120,3730048,8121,3790289,1.81
2026-05-21T17:00:11.019Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,39497,276224,4694,320415,0.12
2026-05-21T17:00:10.906Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,44690,233472,5104,283266,0.11
2026-05-21T16:58:51.345Z,demo-user@example.com,,,On-Demand,gpt-5.3-codex-high,No,0,191109,562816,2757,756682,0.66
2026-05-21T16:49:57.844Z,demo-user@example.com,,,On-Demand,gpt-5.3-codex-high,No,0,32521,1551488,7529,1591538,0.83
2026-05-21T16:47:49.130Z,demo-user@example.com,,,On-Demand,gpt-5.3-codex-high,No,0,21052,762112,2028,785192,0.39
2026-05-21T16:27:17.500Z,demo-user@example.com,,,On-Demand,gpt-5.3-codex-high,No,0,20870,712064,1024,733958,0.36
2026-05-21T16:24:42.566Z,demo-user@example.com,,,On-Demand,gpt-5.3-codex-high,No,0,11920,2080000,7371,2099291,1.01
2026-05-21T16:24:11.671Z,demo-user@example.com,,,On-Demand,gpt-5.3-codex-high,No,0,0,0,0,0,Free
2026-05-21T16:20:50.360Z,demo-user@example.com,,,On-Demand,gpt-5.3-codex-high,No,0,58225,1534976,4436,1597637,0.83
2026-05-21T16:09:39.367Z,demo-user@example.com,,,On-Demand,gpt-5.3-codex-high,No,0,108765,4459392,18579,4586736,2.38
2026-05-21T15:53:13.239Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,50346,397920,6368,454634,0.34
2026-05-21T15:53:13.210Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,47671,320256,4458,372385,0.28
2026-05-21T15:53:12.849Z,demo-user@example.com,,,On-Demand,composer-2.5-fast,No,0,47701,381632,5087,434420,0.31
2026-05-21T15:52:54.054Z,demo-user@example.com,,,On-Demand,gpt-5.5-medium,No,0,59386,164352,3057,226795,0.53
2026-05-21T15:36:30.681Z,demo-user@example.com,,,On-Demand,gpt-5.3-codex-high,No,0,42030,151424,2294,195748,0.18
2026-05-21T14:59:08.254Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,32998,225280,3274,261552,0.10
2026-05-21T14:59:08.226Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,46523,387328,4996,438847,0.17
2026-05-21T14:58:45.479Z,demo-user@example.com,,,On-Demand,gpt-5.3-codex-high,No,0,25627,27776,1661,55064,0.09
2026-05-21T14:41:52.801Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,2990,306432,1030,310452,0.11
2026-05-21T14:40:20.208Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,68600,489728,6719,565047,0.22
2026-05-21T14:36:56.211Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,58028,909056,14363,981447,0.37
2026-05-21T14:34:40.322Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,46809,379904,4729,431442,0.16
2026-05-21T14:34:39.590Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,59428,561664,4442,625534,0.23
2026-05-21T14:34:25.195Z,demo-user@example.com,,,On-Demand,gpt-5.3-codex-high,No,0,28722,25472,2973,57167,0.11
2026-05-21T14:28:42.883Z,demo-user@example.com,,,On-Demand,composer-2.5,No,0,15046,81920,836,97802,0.04
